"scenario","year","hcv_median","hcv_lo","hcv_hi","dc_median","dc_lo","dc_hi","hcc_median","hcc_lo","hcc_hi"
"prison_only_treatment_30plus",2022,8592.19198999839,7787.30127624637,9515.98688490962,421.049744515699,376.81840639746,470.988721025439,108.09548603023,96.7642060321251,120.776231667048
"prison_only_treatment_30plus",2023,8268.34587076134,7495.75605134726,9161.60583713838,409.383330259258,366.508595632893,458.227674248587,104.696054334355,93.7574840126863,117.05157766222
"prison_only_treatment_30plus",2024,7972.99570490458,7231.42695563514,8842.99438282527,397.923741516251,356.426747893646,445.738737791644,101.394459121291,90.850349597518,113.455173039526
"prison_only_treatment_30plus",2025,7703.70542176496,6990.02013972964,8548.73604447864,386.589926506464,346.569999265104,433.520835058092,98.2131450276927,88.065858777637,110.008958168815
"prison_only_treatment_30plus",2026,7459.60427232256,6768.3941935656,8282.16042685218,375.68796466366,336.933698926988,421.5762676077,95.117331022787,85.3938273891547,106.701125615779
"prison_only_treatment_30plus",2027,7227.42637851147,6563.96176256226,8036.49713892778,365.056033004646,327.526914973835,409.912197676731,92.2133628745823,82.8264694353187,103.522720781268
"prison_only_treatment_30plus",2028,7018.24977780141,6374.92546227656,7809.31146659566,354.628369918327,318.358301679537,398.540156466049,89.4745789657536,80.358413075268,100.467685841962
"prison_only_treatment_30plus",2029,6826.94367632177,6199.86401857432,7598.78287511632,344.200398975302,309.437661983159,387.47461090698,86.7631024957789,77.9862142314114,97.5322721630022
"prison_only_treatment_30plus",2030,6650.60539499628,6037.48057557365,7403.39501134657,334.351681527607,300.775936302176,376.731287603912,84.1481024287361,75.7077577771082,94.7143056617333
"prison_only_treatment_30plus",2031,6482.71529388914,5886.6719417984,7221.8570794871,324.872465600929,292.384002457832,366.325646659757,81.6918847154837,73.5217162161885,92.0125187113295
"prison_only_treatment_30plus",2032,6326.09712795874,5746.48235890179,7053.04924882023,315.873654377536,284.271732719437,356.271679756781,79.3150953167284,71.427124938157,89.426024526903
"prison_only_treatment_30plus",2033,6179.88626094564,5616.07085162142,6895.98426414451,307.068138455305,276.441484146542,346.683827167382,77.0716238862464,69.4230803133793,86.9539436517882
"prison_only_treatment_30plus",2034,6046.11323349939,5494.68790037619,6749.89872189638,298.750457849854,268.721143677486,337.509320524115,74.964954534221,67.5070198360576,84.5951637304901
"prison_only_treatment_30plus",2035,5914.69294601727,5376.04779113305,6613.92852007823,290.814138892883,261.310267094796,328.695490423495,72.9433224681855,65.6658371248415,82.3626283061207
"prison_only_treatment_30plus",2036,5798.32186103466,5264.80662972171,6487.29563474598,283.196107420014,254.216667183532,320.25840221795,71.03549206059,63.9115643032815,80.247556995615
"prison_only_treatment_30plus",2037,5691.20434674644,5160.47772193333,6369.33565676651,276.042686035542,247.368317872641,312.15509024305,69.1933065420227,62.2406683767515,78.2359513536314
"prison_only_treatment_30plus",2038,5589.41609992495,5063.05957052063,6257.27539941304,268.795527141134,240.831518580902,304.107873115601,67.5066438010919,60.6106153528717,76.3268967690366
"prison_only_treatment_30plus",2039,5495.48688404119,4972.07579630459,6153.12910511328,261.870549154822,234.576152161476,296.451173226746,65.8319051349579,59.0673797722864,74.4586304325057
"prison_only_treatment_30plus",2040,5406.41611572151,4886.7950716833,6056.44322244851,255.365516438939,228.632172720556,289.296332108745,64.230688799618,57.6115928247738,72.7098203884352
"prison_only_treatment_30plus",2041,5326.45034670811,4809.15718462119,5967.47204876348,249.220164241233,223.049369510264,282.592702411517,62.7335134097424,56.2514558558744,71.0817725270878
"prison_only_treatment_30plus",2042,5252.98362054255,4736.52932213293,5885.50550602138,243.397750885914,217.822620342019,276.240194775245,61.3370840839036,54.9837607223513,69.5449282897613
"prison_only_treatment_30plus",2043,5184.54165963476,4668.56883079722,5809.22586577952,237.933179023504,212.868282928453,270.226411170668,60.0178334179804,53.7890084351053,68.0953244981539
"prison_only_treatment_30plus",2044,5117.82481751636,4604.95815035795,5739.65707232058,232.874889173269,208.176203505338,264.536893405129,58.7773014622368,52.6636555866838,66.7454928232101
"prison_only_treatment_30plus",2045,5055.72133379439,4545.40284487542,5674.03352245281,227.934011475791,203.725866919049,259.253574380612,57.630004899492,51.599900994984,65.4960547774136
"prison_only_treatment_30plus",2046,4996.25398892902,4489.62982457976,5612.66041088432,223.469824681228,199.496617581026,254.325399222417,56.5468612154023,50.5930512379488,64.3187313780272
"prison_only_treatment_30plus",2047,4942.7054082148,4437.38572380568,5555.33307124337,219.233470977428,195.493446365064,249.673637554232,55.5015966443461,49.6442986408462,63.2107087813156
