theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12
1.8388567,-2.4527578,-2.826146,-0.5883244,2.3124394,-0.9175637,-1.7929612,-0.07071145,0.22231531,1.6231103,2.9880097,4.571615
1.8430351,-2.450824,-2.8346958,-0.5776301,2.305692,-1.0337191,-1.7904874,-0.070608675,0.21869919,1.6250385,2.978042,4.56547
1.8385268,-2.457289,-2.8277752,-0.58399874,2.237765,-1.1888535,-1.7944227,-0.069915295,0.22984286,1.6236696,2.971966,4.559537
1.8369586,-2.4599257,-2.8230777,-0.5937392,2.263547,-0.87817,-1.7965436,-0.07337094,0.23004232,1.6316963,2.9524164,4.529909
1.8386014,-2.4527316,-2.8197086,-0.5875892,2.260947,-1.865451,-1.7943718,-0.07101626,0.21537882,1.6325121,2.970392,4.5307016
1.8413951,-2.4579613,-2.8244338,-0.58216673,2.3131905,-0.8581939,-1.7946585,-0.07149614,0.22455962,1.6218979,2.9874902,4.579685
1.8350883,-2.452118,-2.8296652,-0.5716253,2.325381,-1.4818827,-1.7901617,-0.069975734,0.21775897,1.6193261,2.9622138,4.530808
1.8439208,-2.4578478,-2.8272545,-0.5977915,2.3004308,-1.2389613,-1.7953807,-0.07156836,0.22748421,1.6082952,2.96428,4.561198
1.8398298,-2.4563775,-2.8330047,-0.5776429,2.3005638,-1.5142746,-1.7913626,-0.0735648,0.2179141,1.6246423,2.9710352,4.552421
1.8437982,-2.457535,-2.826475,-0.5854953,2.3142364,-1.4963537,-1.7910085,-0.0698351,0.21746813,1.6240506,2.9898696,4.5513563
1.8421665,-2.4521747,-2.8285918,-0.57859564,2.2874749,-2.004492,-1.7893207,-0.07075064,0.2170933,1.6226614,2.9840388,4.504073
1.8381153,-2.4569654,-2.8227932,-0.58878946,2.294192,-2.249919,-1.792178,-0.06991039,0.22185534,1.6254773,2.9887109,4.510153
1.8406457,-2.4546838,-2.8268137,-0.5901759,2.3007329,-1.6121172,-1.7981254,-0.0708069,0.2144193,1.627702,2.9920423,4.527932
1.8419011,-2.455593,-2.8294804,-0.57683074,2.278411,-0.49401113,-1.7948239,-0.071651585,0.22404936,1.612474,2.9600906,4.571937
1.8422078,-2.4553645,-2.8249445,-0.59246105,2.2956958,-0.9812306,-1.7909081,-0.07119582,0.22299233,1.6212003,2.984749,4.5612607
1.8406475,-2.4546916,-2.829455,-0.5801361,2.3062105,-1.4588518,-1.7923049,-0.07277888,0.2219002,1.6168064,3.0004303,4.5460734
1.8375463,-2.4560642,-2.8316822,-0.5880994,2.2995522,-1.8085227,-1.794407,-0.071314216,0.22233963,1.6237664,2.990398,4.535668
1.8409686,-2.4528027,-2.8251479,-0.57534957,2.2799497,-1.4402076,-1.7939409,-0.07039672,0.22096273,1.61493,2.9722936,4.5300126
1.8376114,-2.4580386,-2.8228867,-0.646358,2.1975725,-1.1027716,-1.7946496,-0.07243415,0.20664074,1.5893921,2.9046605,4.5401125
1.8440723,-2.4567766,-2.8356798,-0.58092487,2.2950244,-1.7423248,-1.7940416,-0.072585404,0.21455216,1.6247363,2.9881692,4.5242186
1.8422652,-2.454883,-2.8263464,-0.5813879,2.311509,-1.4086136,-1.7940228,-0.07115796,0.21912587,1.6264039,2.9975157,4.5370903
1.8439462,-2.4579864,-2.8332481,-0.5844771,2.3152452,-1.5882949,-1.7968767,-0.07261713,0.23049186,1.6232872,2.9956849,4.5457797
1.8385723,-2.4531417,-2.8243246,-0.5875726,2.2718344,-2.3777056,-1.7899666,-0.06756144,0.22395498,1.626645,2.9817986,4.526602
1.8392816,-2.4520237,-2.8289185,-0.58834726,2.3210318,-0.9946347,-1.7950908,-0.07354989,0.22084153,1.621115,2.9935517,4.566025
1.8435849,-2.456203,-2.8291228,-0.5835119,2.2851334,-0.6890332,-1.7916592,-0.07289069,0.22132199,1.6274556,2.9857526,4.58141
1.8439378,-2.451868,-2.8294933,-0.5785739,2.3140016,-0.28814724,-1.7885097,-0.073899426,0.21823855,1.6130154,2.9845967,4.6091046
1.8400303,-2.4543235,-2.831899,-0.5870518,2.345428,-0.32216108,-1.79505,-0.070482425,0.21199054,1.6229683,3.0002294,4.615199
1.8426936,-2.4544737,-2.827331,-0.5961851,2.299371,-1.5867753,-1.7937338,-0.07193127,0.22096524,1.6315496,2.9750125,4.529428
1.8428781,-2.4563966,-2.8289225,-0.58445865,2.3051693,-0.86074054,-1.7929513,-0.071640946,0.22365493,1.6153368,2.9759655,4.5757008
1.8366597,-2.4532113,-2.8389122,-0.5318226,2.2395866,-1.6566035,-1.7982146,-0.07441972,0.21688586,1.6069862,2.9294205,4.5917687
1.8427912,-2.452581,-2.8303115,-0.58308834,2.27214,-1.493462,-1.7940066,-0.070240356,0.21710739,1.6198698,2.9799018,4.540218
1.8420522,-2.4501433,-2.8241885,-0.59036344,2.3039386,-1.6550546,-1.7898263,-0.07295956,0.23073731,1.6230421,2.9806237,4.5416837
