"source","p1","p2","p3","p4","p5","p6","N1","N2","N3","N4","N5","N6"
"npe",0.11322491392676,0.17730711275855,0.274541853697914,0.43877583400481,0.496672107069028,0.421154467176333,98.7862874440641,1246.54578102188,1467.32464992765,1818.51082363886,1572.60520577828,573.539260994748
"npe",0.107431549679772,0.167341358657507,0.263645859280862,0.42356367040401,0.472574131021707,0.380283562291028,98.5614358362407,1234.54580707831,1449.3276377976,1837.06411601254,1641.95579991122,531.996353180779
"npe",0.112915547644839,0.175739572401688,0.272419648859227,0.433641254985929,0.494423317186549,0.412427510622949,97.9684578957908,1245.33792050465,1456.15129128507,1848.7510097288,1617.53336749972,551.177502982512
"npe",0.108948631066476,0.17223766994165,0.263143799951777,0.434682572990018,0.491207795340136,0.402764207450116,98.6538421933245,1255.34673333146,1510.90636710149,1729.4834257435,1681.26661658813,527.542627369726
"npe",0.113531375172892,0.174020376964699,0.276204088147476,0.437651138616789,0.494727232185565,0.403780068657728,99.0855028623041,1260.60430413946,1462.22004576585,1821.83945060139,1607.06482380085,529.337518422309
"npe",0.107169229245813,0.167613146539423,0.262599588457807,0.423001102663324,0.477907868070136,0.388064277738188,97.5027612049136,1223.82178927314,1466.82211389642,1750.77624683074,1615.58503688185,538.062150842778
"npe",0.111332509398674,0.17623459656814,0.279104763063152,0.438085206577888,0.46535535124779,0.354112876407759,98.8832996240225,1249.37474925184,1419.86700381915,1713.78265368806,1442.39659855314,481.894571639045
"npe",0.110102578619133,0.175499335501548,0.272232653443108,0.431991254732075,0.499002742955961,0.400053045769396,99.3071114257087,1256.99319343761,1469.99788085506,1826.91258142033,1540.82254495907,502.857986898619
"npe",0.110958812328372,0.174697685946033,0.273426060984626,0.443533855953346,0.493399210460551,0.395724254303497,98.0159037809317,1258.27329865579,1484.48324166213,1773.08053333902,1590.86467822765,515.178394006857
"npe",0.109171659201987,0.172334818054355,0.265098247248229,0.429865956095419,0.479706929349844,0.46120966115056,99.7220683550882,1247.09094593046,1451.81053030422,1722.02888912545,1495.06370204578,680.9217216073
